City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Cocorit,MX,27.5833,-109.9667,82.51,15,50,8.63,scattered clouds
204,Batemans Bay,AU,-35.7167,150.1833,81.19,65,77,3.27,light rain
205,Rabaul,PG,-4.1967,152.1721,82.11,74,97,5.61,overcast clouds
206,Hofn,IS,64.2539,-15.2082,31.55,54,61,18.01,broken clouds
207,Alenquer,BR,-1.9417,-54.7383,74.89,93,49,1.83,light rain
208,Dauphin,CA,51.1494,-100.0502,8.6,96,98,4.83,overcast clouds
209,Kushmurun,KZ,52.4503,64.6311,10.89,81,100,7.92,overcast clouds
210,Zhicheng,CN,30.2956,111.5047,33.49,97,100,0.89,light snow
211,Portland,US,45.5234,-122.6762,53.76,52,83,3.0,broken clouds
212,Codrington,AU,-38.2667,141.9667,64.18,74,96,12.24,overcast clouds
213,Maridi,SS,4.9158,29.4742,71.73,29,74,6.89,broken clouds
214,Liverpool,GB,53.4106,-2.9779,52.29,87,75,1.99,broken clouds
215,Benjamin Aceval,PY,-24.9667,-57.5667,86.07,34,91,8.34,overcast clouds
216,Huarmey,PE,-10.0681,-78.1522,71.28,81,100,8.79,overcast clouds
217,Touros,BR,-5.1989,-35.4608,79.21,75,82,5.35,broken clouds
218,Linfen,CN,36.0889,111.5189,31.12,77,13,3.04,few clouds
219,Veseloyarsk,RU,51.2836,81.1056,-10.46,98,35,4.54,scattered clouds
220,Port Blair,IN,11.6667,92.75,78.75,78,81,7.54,broken clouds
221,Vila Velha,BR,-20.3297,-40.2925,80.55,84,40,7.0,scattered clouds
222,Waipawa,NZ,-41.4122,175.5153,70.43,44,63,6.33,broken clouds
223,Hami,CN,42.8,93.45,20.75,53,0,4.59,clear sky
224,Tukrah,LY,32.5341,20.5791,55.04,67,28,10.36,scattered clouds
225,Kachiry,KZ,53.0675,76.1036,-0.92,91,100,6.98,overcast clouds
226,Mount Gambier,AU,-37.8333,140.7667,66.11,88,100,12.66,overcast clouds
227,Bathsheba,BB,13.2167,-59.5167,77.05,84,44,13.35,scattered clouds
228,Chuy,UY,-33.6971,-53.4616,65.37,70,45,6.87,scattered clouds
229,Mancio Lima,BR,-7.6142,-72.8958,80.4,77,100,2.64,overcast clouds
230,Namibe,AO,-15.1961,12.1522,72.32,82,100,5.68,overcast clouds
