City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Oussouye,SN,2022-01-17 21:40:57,12.485,-16.5469,78.98,75,0,8.01
181,Shingu,JP,2022-01-17 21:40:57,33.7333,135.9833,40.91,76,56,8.84
182,Verkh-Suetka,RU,2022-01-17 21:40:57,53.3,80.05,6.69,95,49,7.58
183,Axim,GH,2022-01-17 21:40:57,4.8699,-2.2405,80.04,81,67,8.77
184,Tazovskiy,RU,2022-01-17 21:41:58,67.4667,78.7,10.31,90,97,14.92
185,Novocheremshansk,RU,2022-01-17 21:41:58,54.3571,50.1666,18.75,90,100,16.6
186,Namibe,AO,2022-01-17 21:41:58,-15.1961,12.1522,69.03,80,29,5.53
187,Tateyama,JP,2022-01-17 21:41:59,34.9833,139.8667,42.73,39,75,17.27
188,Benghazi,LY,2022-01-17 21:41:59,32.1167,20.0667,56.93,65,1,8.37
189,Iqaluit,CA,2022-01-17 21:41:59,63.7506,-68.5145,2.93,78,100,12.66
190,Calabozo,VE,2022-01-17 21:42:00,8.9242,-67.4293,90.37,39,71,4.83
191,Progreso,MX,2022-01-17 21:42:00,21.2833,-89.6667,78.91,51,43,6.69
192,Inta,RU,2022-01-17 21:42:00,66.0317,60.1659,-14.93,99,37,2.21
193,Rawson,AR,2022-01-17 21:42:00,-43.3002,-65.1023,57.54,48,85,18.34
194,Anchorage,US,2022-01-17 21:39:40,61.2181,-149.9003,18.68,88,40,0.0
195,Itupiranga,BR,2022-01-17 21:42:01,-5.1347,-49.3267,82.72,93,74,3.51
196,Portland,US,2022-01-17 21:39:43,45.5234,-122.6762,54.84,86,100,3.0
197,Hammond,US,2022-01-17 21:42:01,41.5834,-87.5,28.98,71,100,5.99
198,Yuci,CN,2022-01-17 21:42:01,37.6803,112.7319,25.16,26,0,1.32
199,Sao Filipe,CV,2022-01-17 21:42:02,14.8961,-24.4956,72.57,74,7,9.8
200,Vardo,NO,2022-01-17 21:42:02,70.3705,31.1107,26.58,68,75,35.68
201,Taoudenni,ML,2022-01-17 21:42:02,22.6783,-3.9836,60.58,19,7,14.16
202,Mahebourg,MU,2022-01-17 21:42:02,-20.4081,57.7,80.26,89,40,0.0
203,Maniitsoq,GL,2022-01-17 21:42:03,65.4167,-52.9,8.44,85,96,5.26
204,Sambava,MG,2022-01-17 21:42:03,-14.2667,50.1667,75.52,87,98,5.64
205,Tezu,IN,2022-01-17 21:42:03,27.9167,96.1667,53.87,46,2,5.08
206,Moundou,TD,2022-01-17 21:42:04,8.5667,16.0833,73.0,21,11,7.38
207,Price,US,2022-01-17 21:42:04,39.5994,-110.8107,40.12,55,0,4.61
208,Georgetown,MY,2022-01-17 21:42:04,5.4112,100.3354,80.53,72,20,8.01
209,Lagoa,PT,2022-01-17 21:42:04,39.05,-27.9833,58.24,87,100,4.63
210,Basar,IN,2022-01-17 21:42:05,27.9833,94.6667,41.0,59,0,3.09
211,Waipawa,NZ,2022-01-17 21:42:05,-41.4122,175.5153,66.45,57,4,6.26
212,Castro,BR,2022-01-17 21:42:05,-24.7911,-50.0119,68.2,91,32,3.53
213,Pacific Grove,US,2022-01-17 21:42:05,36.6177,-121.9166,65.77,78,75,1.99
214,Southbridge,US,2022-01-17 21:42:06,42.0751,-72.0334,38.08,90,100,1.99
215,Ishigaki,JP,2022-01-17 21:42:06,24.3448,124.1572,64.53,94,75,25.32
216,Warri,NG,2022-01-17 21:42:06,5.5167,5.75,79.84,78,42,3.56
217,Yulara,AU,2022-01-17 21:42:07,-25.2406,130.9889,67.84,100,100,0.0
218,Lenger,KZ,2022-01-17 21:42:07,42.183,69.8839,35.04,93,97,1.63
219,Khani,GE,2022-01-17 21:42:07,41.9563,42.9566,22.57,78,16,8.43
220,Russell,US,2022-01-17 21:42:08,32.3502,-85.1999,40.6,74,100,11.5
221,Vao,NC,2022-01-17 21:42:08,-22.6667,167.4833,76.5,69,93,16.69
222,Esperance,AU,2022-01-17 21:42:08,-33.8667,121.9,53.44,79,23,12.08
